STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,event_name,date
240,20191020,1,200.0,30.0,30.0,50.0,98.0,,88.0,0.0,0.0,0.0,0.0,10061.0,65.0,8.0,93.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,2,160.0,20.0,20.0,40.0,88.0,,81.0,0.0,0.0,0.0,0.0,10060.0,65.0,8.0,95.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,3,990.0,20.0,10.0,40.0,80.0,,75.0,0.0,0.0,0.0,0.0,10061.0,64.0,8.0,96.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,4,160.0,20.0,30.0,40.0,87.0,,83.0,0.0,0.0,0.0,0.0,10066.0,61.0,8.0,96.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,5,140.0,20.0,30.0,40.0,84.0,,78.0,0.0,0.0,0.0,0.0,10071.0,58.0,8.0,95.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,6,160.0,20.0,20.0,40.0,87.0,68.0,83.0,0.0,0.0,0.0,0.0,10072.0,58.0,8.0,97.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,7,160.0,20.0,20.0,30.0,90.0,,86.0,0.0,6.0,0.0,0.0,10078.0,57.0,8.0,97.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,8,140.0,10.0,10.0,20.0,100.0,,95.0,0.0,20.0,0.0,0.0,10080.0,59.0,8.0,96.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,9,130.0,10.0,10.0,20.0,117.0,,106.0,2.0,52.0,0.0,0.0,10086.0,61.0,8.0,92.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,10,120.0,10.0,10.0,20.0,122.0,,107.0,1.0,57.0,0.0,0.0,10092.0,62.0,8.0,90.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,11,0.0,10.0,0.0,10.0,135.0,,112.0,0.0,58.0,0.0,0.0,10090.0,65.0,8.0,85.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,12,130.0,10.0,20.0,40.0,131.0,77.0,113.0,0.0,36.0,0.0,0.0,10090.0,65.0,8.0,88.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,13,110.0,10.0,10.0,20.0,137.0,,115.0,0.0,46.0,0.0,0.0,10092.0,64.0,7.0,86.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,14,110.0,10.0,10.0,20.0,141.0,,109.0,1.0,62.0,0.0,0.0,10096.0,70.0,8.0,81.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,15,40.0,20.0,20.0,40.0,135.0,,105.0,0.0,37.0,0.0,0.0,10092.0,70.0,8.0,82.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,16,30.0,30.0,30.0,50.0,130.0,,100.0,5.0,22.0,0.0,0.0,10098.0,70.0,8.0,82.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,17,30.0,30.0,30.0,40.0,123.0,,96.0,0.0,4.0,0.0,0.0,10105.0,62.0,8.0,83.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,18,40.0,30.0,20.0,40.0,115.0,105.0,93.0,0.0,0.0,0.0,0.0,10112.0,70.0,8.0,86.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,19,20.0,30.0,30.0,50.0,119.0,,104.0,0.0,0.0,0.0,0.0,10112.0,56.0,8.0,90.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,20,30.0,30.0,30.0,50.0,119.0,,109.0,0.0,0.0,0.0,0.0,10113.0,57.0,8.0,93.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,21,40.0,40.0,40.0,60.0,119.0,,110.0,0.0,0.0,0.0,0.0,10114.0,50.0,8.0,94.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,22,40.0,40.0,40.0,70.0,121.0,,109.0,0.0,0.0,0.0,-1.0,10117.0,56.0,7.0,92.0,23.0,7,0.0,1.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
